USERID,EMAILID
11,bazinga@seas.edu
11,arvind@seas.edu
11,reed@seas.edu
12,arrow@seas.edu
12,bazinga@seas.edu
13,arrow@seas.edu
13,reed@seas.edu
13,amy@seas.edu
14,arrow@seas.edu
14,bazinga@seas.edu
15,arrow@seas.edu
15,bazinga@seas.edu
15,arvind@seas.edu
15,alice@seas.edu
15,reed@seas.edu
16,bazinga@seas.edu
16,alice@seas.edu
17,br@seas.upenn.edu
18,d@seas.upenn.edu
19,d@seas.upenn.edu
20,br@seas.upenn.edu
21,g@seas.upenn.edu
22,h@seas.upenn.edu
23,f@seas.upenn.edu
24,g@seas.upenn.edu
25,ls@seas.upenn.edu
25,ls@seas.upenn.edu
26,xisco@gmail.com
71,1@weerocks.com
71,a@b.com
71,a@c.com
71,a@d.com
71,a@e.com
72,1@weerocks.com
72,b@b.com
72,a@c.com
72,a@d.com
72,a@e.com
73,1@weerocks.com
73,b@b.com
73,c@c.com
73,a@d.com
73,a@e.com
74,1@weerocks.com
74,b@b.com
74,c@c.com
74,d@d.com
74,a@e.com
75,1@weerocks.com
75,b@b.com
75,c@c.com
75,d@d.com
75,e@e.com
76,b@b.com
76,c@c.com
76,d@d.com
76,e@e.com
76,f@f.com
77,c@c.com
77,d@d.com
77,e@e.com
77,f@f.com
77,g@g.com
78,d@d.com
78,e@e.com
78,f@f.com
78,g@g.com
78,h@h.com
79,e@e.com
79,f@f.com
79,g@g.com
79,h@h.com
79,i@i.com
80,f@f.com
80,g@g.com
80,h@h.com
80,i@i.com
80,j@j.com
81,g@g.com
81,h@h.com
81,i@i.com
81,j@j.com
81,k@a.com
82,h@h.com
82,i@i.com
82,j@j.com
82,k@a.com
82,l@a.com
83,i@i.com
83,j@j.com
83,k@a.com
83,l@a.com
83,m@a.com
84,j@j.com
84,k@a.com
84,l@a.com
84,m@a.com
84,n@a.com
85,k@a.com
85,l@a.com
85,m@a.com
85,n@a.com
85,o@a.com
86,l@a.com
86,m@a.com
86,n@a.com
86,o@a.com
86,p@a.com
87,m@a.com
87,n@a.com
87,o@a.com
87,q@a.com
88,n@a.com
88,o@a.com
88,p@a.com
88,q@a.com
88,r@a.com
89,o@a.com
89,p@a.com
89,q@a.com
89,r@a.com
89,s@a.com
90,p@a.com
90,q@a.com
90,r@a.com
90,s@a.com
90,t@a.com
91,q@a.com
91,r@a.com
91,s@a.com
91,t@a.com
91,u@a.com
92,r@a.com
92,s@a.com
92,t@a.com
92,u@a.com
92,v@a.com
93,s@a.com
93,t@a.com
93,u@a.com
93,v@a.com
93,w@a.com
94,t@a.com
94,u@a.com
94,v@a.com
94,w@a.com
94,x@a.com
95,u@a.com
95,v@a.com
95,w@a.com
95,x@a.com
95,y@a.com
96,v@a.com
96,w@a.com
96,x@a.com
96,y@a.com
96,z@a.com
97,w@a.com
97,x@a.com
97,y@a.com
97,z@a.com
97,aa@a.com
98,x@a.com
98,y@a.com
98,z@a.com
98,aa@a.com
98,b@a.com
99,y@a.com
99,z@a.com
99,aa@a.com
99,b@a.com
99,c@a.com
100,z@a.com
100,aa@a.com
100,b@a.com
100,c@a.com
100,d@a.com
101,aa@a.com
101,b@a.com
101,c@a.com
101,d@a.com
101,e@a.com
102,b@a.com
102,c@a.com
102,d@a.com
102,e@a.com
102,f@a.com
103,c@a.com
103,d@a.com
103,e@a.com
103,f@a.com
103,g@a.com
104,d@a.com
104,e@a.com
104,f@a.com
104,g@a.com
104,h@a.com
105,e@a.com
105,f@a.com
105,g@a.com
105,h@a.com
105,i@a.com
106,f@a.com
106,g@a.com
106,h@a.com
106,i@a.com
106,j@a.com
107,g@a.com
107,h@a.com
107,i@a.com
107,j@a.com
107,a@b.com
108,h@a.com
108,i@a.com
108,j@a.com
108,a@b.com
108,a@c.com
109,i@a.com
109,j@a.com
109,a@b.com
109,a@c.com
109,a@d.com
110,j@a.com
110,a@b.com
110,a@c.com
110,a@d.com
110,a@e.com
112,jthomas@seas.upenn.edu
113,randerson@seas.upenn.edu
114,jthomas@seas.upenn.edu
114,dwhite@seas.upenn.edu
114,sjackson@seas.upenn.edu
115,ctaylor@seas.upenn.edu
115,hjones@seas.upenn.edu
115,twilson@seas.upenn.edu
116,awilliams@seas.upenn.edu
116,twilson@seas.upenn.edu
116,randerson@seas.upenn.edu
116,dwhite@seas.upenn.edu
117,jthomas@seas.upenn.edu
118,sjackson@seas.upenn.edu
118,jthomas@seas.upenn.edu
118,kmiller@seas.upenn.edu
118,hjones@seas.upenn.edu
119,kmiller@seas.upenn.edu
119,amoore@seas.upenn.edu
119,tdavis@seas.upenn.edu
119,sjackson@seas.upenn.edu
119,kmartin@seas.upenn.edu
120,tdavis@seas.upenn.edu
120,kmiller@seas.upenn.edu
120,kmartin@seas.upenn.edu
120,amoore@seas.upenn.edu
120,jbrown@seas.upenn.edu
121,kmartin@seas.upenn.edu
121,dwhite@seas.upenn.edu
122,kmartin@seas.upenn.edu
122,jbrown@seas.upenn.edu
122,hjones@seas.upenn.edu
122,randerson@seas.upenn.edu
122,twilson@seas.upenn.edu
123,kmartin@seas.upenn.edu
