USERID,EMAILID,FIRSTNAME,LASTNAME,PASSWORD,AFFILIATION
1,udit@sd.edu,Udit,Mehta,123=abc,MU
2,chinmay@sd.edu,Chinmay,Mishra,123=abc,MU
3,rishabh@sd.edu,Rishabh,Gulati,123=abc,UPenn
4,roshan@sd.edu,Roshan,Moorthy,123=abc,Amazon
5,sahil@sd.edu,Sahil,Hirpara,123=abc,MU
6,ushma@sd.edu,Ushma,Thakker,123=abc,MU
7,megha@sd.edu,Megha,Patel,123=abc,MU
8,rachit@sd.edu,Rachit,Khanna,123=abc,UPenn
9,sachin@sd.edu,Sachin,Tendulkar,123=abc,BCCI
10,anshul@sd.edu,Anshul,Sharma,123=abc,Coursera
11,arrow@seas.edu,Arrow,John,123=abc,Upenn
12,bazinga@seas.edu,Cooper,Sheldon,123=abc,Gatech
13,arvind@seas.edu,Blake,Arvind,123=abc,CMU
14,alice@seas.edu,Jone,Alice,123=abc,PSU
15,reed@seas.edu,Farmar,Reed,123=abc,Upenn
16,amy@seas.edu,Feller,Amy,123=abc,CIA
17,adam@seas.upenn.edu,Alur,Rajeev,123=abc,penn
18,br@seas.upenn.edu,Badler,Norman,123=abc,penn
19,c@seas.upenn.edu,Blaze,Matthew,123=abc,penn
20,d@seas.upenn.edu,Davidson,Susan,123=abc,penn
21,e@seas.upenn.edu,Davietti,Joe,123=abc,penn
22,f@seas.upenn.edu,Gallier,Jean,123=abc,penn
23,g@seas.upenn.edu,Ives,Zach,123=abc,penn
24,h@seas.upenn.edu,Murphy,Chris,123=abc,penn
25,ls@seas.upenn.edu,sh,livis,123=abc,upenn
26,xisco@gmail.com,Fitzgerald,Leo,123=abc,UPENN
27,roujiamo@seas.upenn.edu,roujia,mo,123=abc,upenn
28,testuser@test.com,Test,User,123=abc,No Affiliation
29,tim@test.com,Tim,T,123=abc,UPenn
30,rihanna@test.com,Robin,Fenty,123=abc,UPenn
31,jennifer@test.com,Jennifer,J,123=abc,UPenn
32,kate@test.com,Kate,K,123=abc,UPenn
33,bill@test.com,Bill,B,123=abc,UPenn
34,steve@test.com,Steve,S,123=abc,UPenn
35,billy@test.com,Billy,B,123=abc,UPenn
